Country_Name,ag,elec,food
Afghanistan,379100,43,7
Albania,12010,100,17
Algeria,413880,100,19
American Samoa,49,59,
Andorra,204,100,
Angola,589900,37,
Antigua and Barbuda,90,90,35
Argentina,1482810,99,2
Armenia,16981,100,20
Aruba,20,90,31
Australia,4096726,100,5
Austria,31808,100,7
Azerbaijan,47687,100,15
Bahrain,86,97,9
Bangladesh,91280,59,
Barbados,140,90,19
Belarus,88750,100,9
Belgium,13360,100,8
Belize,1570,100,14
Benin,35300,38,40
Bermuda,3,100,19
Bhutan,5196,75,
Bolivia,372270,90,7
Bosnia and Herzegovina,21510,100,17
Botswana,259260,53,10
Brazil,2753730,99,4
Brunei Darussalam,134,76,15
Bulgaria,50880,100,9
Burkina Faso,117900,13,12
Burundi,18830,6,13
Cabo Verde,780,70,32
Cambodia,56550,31,6
Cameroon,97500,53,
Canada,625970,100,7
Cayman Islands,27,90,
Central African Republic,50800,10,36
Chad,499350,6,
Channel Islands,96,100,
Chile,157594,99,7
China,5145530,100,5
Colombia,417210,97,9
Comoros,1330,69,31
Costa Rica,18190,99,10
Cote d'Ivoire,206000,55,14
Croatia,13261,100,12
Cuba,64079,100,
Curacao,1,90,
Cyprus,1163,100,20
Czech Republic,42290,100,6
Denmark,26900,100,13
Djibouti,17020,53,
Dominica,250,92,
Dominican Republic,23970,98,13
Ecuador,73461,97,7
El Salvador,15430,93,15
Equatorial Guinea,2840,66,
Eritrea,75920,36,
Estonia,9450,100,10
Ethiopia,363252,26,12
Faroe Islands,30,100,
Fiji,4250,59,15
Finland,22866,100,7
France,288784,100,9
French Polynesia,455,59,24
Gabon,51600,89,
Georgia,24674,100,15
Germany,167190,100,7
Ghana,157200,64,16
Greece,81800,100,13
Greenland,2359,100,21
Grenada,110,90,
Guam,180,59,
Guatemala,38906,78,13
Guinea,143000,26,21
Guinea-Bissau,16300,60,
Guyana,16780,79,14
Haiti,18300,37,
Honduras,32300,82,
Hungary,53370,100,5
Iceland,18732,100,10
India,1796700,78,3
Indonesia,565000,96,8
Iraq,85300,100,
Ireland,45550,100,14
Isle of Man,425,100,
Israel,5170,100,7
Italy,138526,100,10
Jamaica,4440,92,17
Japan,45610,100,8
Jordan,10026,99,17
Kazakhstan,2169885,100,9
Kenya,276300,23,10
Kiribati,340,59,36
Kosovo,1,100,
Kuwait,1525,97,15
Kyrgyz Republic,106085,100,14
Lao PDR,22765,70,
Latvia,18160,100,13
Lebanon,6510,100,16
Lesotho,23120,20,
Liberia,27050,9,
Libya,153510,100,
Liechtenstein,60,100,
Lithuania,28059,100,13
Luxembourg,1312,100,11
Madagascar,414050,15,17
Malawi,55850,9,11
Malaysia,76190,100,7
Maldives,79,100,22
Mali,416510,25,
Malta,103,100,10
Marshall Islands,130,59,
Mauritania,396610,21,11
Mauritius,890,100,22
Mexico,1067050,99,6
Moldova,24620,100,13
Monaco,1,100,
Mongolia,1135070,89,9
Montenegro,5130,100,
Morocco,301038,100,10
Mozambique,499500,20,10
Myanmar,125580,52,
Namibia,388090,47,13
Nepal,41266,76,19
Netherlands,18584,100,12
New Caledonia,1903,59,13
New Zealand,113710,100,10
Nicaragua,50709,77,17
Niger,444820,14,32
Nigeria,710000,55,17
Norway,9990,100,9
Oman,14760,97,9
Pakistan,359360,93,10
Palau,50,59,20
Panama,22630,90,13
Papua New Guinea,11900,18,
Paraguay,213900,98,7
Peru,241040,91,9
Philippines,122600,87,10
Poland,147790,100,8
Portugal,36670,100,15
Puerto Rico,1953,90,
Qatar,650,97,9
Romania,139820,100,8
Russian Federation,2146500,100,13
Rwanda,18164,18,17
Samoa,350,100,27
San Marino,10,100,
Sao Tome and Principe,487,60,30
Saudi Arabia,1733880,97,14
Senegal,90150,56,23
Serbia,50610,100,
Seychelles,14,100,
Sierra Leone,40176,14,
Singapore,7,100,3
Slovak Republic,19297,100,6
Slovenia,4585,100,8
Solomon Islands,1070,22,17
Somalia,440280,32,
South Africa,963740,85,6
South Sudan,285332,5,
Spain,270140,100,11
Sri Lanka,27300,88,12
St. Kitts and Nevis,60,90,
St. Lucia,106,90,
St. Martin (French part),1,90,
St. Vincent and the Grenadines,100,75,
Sudan,1086788,32,
Suriname,800,100,11
Swaziland,12220,42,
Sweden,30660,100,10
Switzerland,15316,100,5
Syrian Arab Republic,139150,96,
Tajikistan,48550,100,
Tanzania,383000,15,7
Thailand,210600,100,5
Timor-Leste,3730,41,14
Togo,36650,31,14
Tonga,310,95,29
Trinidad and Tobago,540,99,
Tunisia,100720,100,10
Turkey,382470,100,4
Turkmenistan,338380,100,
Turks and Caicos Islands,10,90,
Tuvalu,18,44,
Uganda,144150,18,11
Ukraine,412810,100,10
United Arab Emirates,3935,97,7
United Kingdom,171640,100,10
United States,4046693,100,5
Uruguay,145260,99,11
Uzbekistan,266300,100,
Vanuatu,1870,27,
Vietnam,107933,99,8
Virgin Islands (U.S.),40,90,
West Bank and Gaza,2605,97,
Zambia,236360,22,4
Zimbabwe,164000,40,14
