,American Samoa
,Andorra
,Antigua and Barbuda
,Argentina
,Aruba
,Australia
,Austria
,Bahrain
,Barbados
,Belgium
,Belize
,Bermuda
,British Virgin Islands
,Brunei Darussalam
,Canada
,Cayman Islands
,Channel Islands
,Chile
,Croatia
,Cuba
,Curacao
,Cyprus
,Czech Republic
,Denmark
,Djibouti
,Equatorial Guinea
,Estonia
,Faroe Islands
,Finland
,France
,French Polynesia
,Gabon
,Germany
,Gibraltar
,Greece
,Greenland
,Guam
,Hungary
,Iceland
,Iraq
,Ireland
,Isle of Man
,Israel
,Italy
,Jamaica
,Japan
,Kiribati
,Kuwait
,Latvia
,Lebanon
,Libya
,Liechtenstein
,Lithuania
,Luxembourg
,Malaysia
,Malta
,Marshall Islands
,Monaco
,Montenegro
,Myanmar
,Namibia
,Nauru
,Netherlands
,New Caledonia
,New Zealand
,Northern Mariana Islands
,Norway
,Oman
,Palau
,Papua New Guinea
,Poland
,Portugal
,Puerto Rico
,Qatar
,Russian Federation
,San Marino
,Saudi Arabia
,Seychelles
,Singapore
,Sint Maarten (Dutch part)
,Slovak Republic
,Slovenia
,Somalia
,South Sudan
,Spain
,St. Kitts and Nevis
,St. Lucia
,St. Martin (French part)
,Sudan
,Suriname
,Swaziland
,Sweden
,Switzerland
,Syrian Arab Republic
,Timor-Leste
,Trinidad and Tobago
,Tunisia
,Turks and Caicos Islands
,Tuvalu
,United Arab Emirates
,United Kingdom
,United States
,Uruguay
,Vanuatu
,Virgin Islands (U.S.)
,West Bank and Gaza
,Zimbabwe
1.04810737323673E+01,Uganda
1.05925137230609E+01,Moldova
1.10505854840622E+01,Bulgaria
1.11280438348136E+01,Bangladesh
1.12374869170235E+01,Peru
1.12558806160474E+01,Haiti
1.17337041549515E+00,Nigeria
1.17912208148207E+01,Zambia
1.18314021532106E+01,Cameroon
1.20909433349999E+01,Togo
1.23377518002700E+01,Mauritius
1.23725745198050E+01,Liberia
1.26198857184498E+01,Burkina Faso
1.31840991217710E+01,Ecuador
1.32839453499793E+01,Kenya
1.40999707868666E+01,Benin
1.41217798232459E+01,Guatemala
1.42508983922813E+01,Nepal
1.48303242053064E+01,South Africa
1.50273654584994E+01,Bolivia
1.51666617561882E+01,Guinea
1.53060568574941E+01,Pakistan
1.53787870210490E+01,Turkey
1.55516266989664E+01,Indonesia
1.55811931710354E+01,Tanzania
1.58737468403476E+01,Philippines
1.60410983298270E+01,Colombia
1.60465588589715E+01,Sierra Leone
1.63403852492430E+01,Madagascar
1.64615588912903E+01,Fiji
1.67076455054450E+01,Rwanda
1.69645404181887E+01,Eritrea
1.71296070387368E+01,Chad
1.74392070657118E+01,Ethiopia
1.77208423726383E+01,Central African Republic
1.81128753986348E+01,Mali
1.81316975139290E+01,Costa Rica
1.85862108845579E+01,Tajikistan
1.89043458175110E+01,Mexico
1.96600824707892E+01,Guinea-Bissau
2.06105864978213E+01,Angola
2.06716762173100E+01,Niger
2.11879440925718E+01,Malawi
2.16951506103351E+01,Vietnam
2.18494766917609E+01,Cote d'Ivoire
2.25255102948035E+01,Lesotho
2.26194058533911E+01,Romania
2.31001782751403E+01,Belarus
2.37864864676964E+01,Maldives
2.46096982754516E+01,Senegal
2.48030454270623E+01,Mongolia
2.58490678057988E+01,Dominican Republic
2.60100028647005E+01,Jordan
2.60279313091632E+01,Bosnia and Herzegovina
2.61453361340984E+01,Cambodia
2.64523096070668E+01,Albania
2.69572779743125E+01,Ghana
2.75232275203934E+01,Morocco
2.76574217903215E+01,Armenia
2.88069280432586E+01,Honduras
2.92671665665845E+01,Nicaragua
2.92883078715854E+01,Mozambique
2.97499973498357E+01,Ukraine
3.00296834294067E+01,Georgia
3.09868088346078E+01,Guyana
3.21446706811607E+01,Tonga
3.29998531976194E+01,Kyrgyz Republic
3.47554569077694E+01,Panama
3.53129780926584E+01,Sri Lanka
3.69748569796496E+01,St. Vincent and the Grenadines
3.82610221759097E+01,Lao PDR
4.08762799522347E+01,El Salvador
4.09411447029769E+01,Samoa
4.36032785193336E+01,Serbia
4.60963376355960E+01,Dominica
5.21055476637880E+00,Kosovo
5.24727150468594E+01,Sao Tome and Principe
5.28980613072691E+00,India
5.49324943157502E-01,Turkmenistan
5.50816026779892E+01,Mauritania
5.78876411314126E+00,Uzbekistan
6.09058796800186E+01,Grenada
6.56492581445086E+00,Brazil
6.77073717653575E+01,Cabo Verde
6.81554220854444E+01,Bhutan
6.85430053805991E-01,Algeria
7.19892788724015E+00,Kazakhstan
7.63432286395843E+00,Azerbaijan
7.71385476923717E+00,Solomon Islands
7.71440991279608E+00,Afghanistan
7.74341096240655E+00,Thailand
7.75493352223857E+00,Botswana
8.18740790487566E-01,China
8.92652914200068E+00,Paraguay
9.37412145641146E+00,Burundi
9.80053546775700E+00,Comoros
_2014,Country_Name
